url,user_id,title,review,rating,date_visited,trip_type,Year,Month,language,province
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/tomloutess,Great food,Beautiful meal here. Great service. Highly recommended by our tour guide and did not disappoint.,5,"March 29, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/310396,Have I just found my favourite ever restaurant? (I’m 62 and have been hunting a while),"Unbelievable, I’d been in Hue ten minutes, the receptionist at the guesthouse put me on to it.

Not much more to say other than that going against my usual need to try a different place for every meal I know that I am going back to Madam Thu for the next two nights as well.",5,"March 28, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/Roam60521308266,"A restaurant worth a visit: delicious, cheap, friendly","There is very delicious food here, the prices are fair and the restaurant is definitely worth a visit overall",5,"March 28, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/marialuisabra,Cena tipica in un ambiente accoglienteA delightful taste of traditionale food,"This charming restaurant, recommended by our guide, is the right place to experience authentic local cuisine in a warm and welcoming atmosphere. The staff are friendly. The highlight is definitely the tasting menu, which offers a delicious journey through traditional flavors, beautifully presented.",5,"March 17, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/Global42562880184,Hué on a plate,"Hue's nourriture typique on one plate. Highly recommended. Prices for tourists but as always in Vietnam, cheap",5,"March 10, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/jenniferlI3016TN,Not a penny worth,"I am Vietnamese and I must admit the restaurant is overrated

not a single dish based on Vietnamese flavors but more for tourism

we were a group of 14 people who tried the place when we googled it

will never come back and will absolutely not recommend the place",1,"March 10, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/E6416QZjoj,Fabulous first visit,"Great choice , although it was very busy we were survived promptly and didnt gave to wait long for our food , which was really good . Our waitress Hannah was lovely, not rushing us and making time to chat with us even though she was extremely busy. Overall a great night with amazing food and brilliant service .",5,"February 28, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/I5738QRlindab,Recommended!,Great friendly service and great food!!,5,"February 28, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/sammy020950,Authentic Vietnamese cuisine,"Restaurant serving Vietnamese cuisine.
The food comes fresh on the table.
Excellent taste and presentation.
The staff very attentive.
Value for money in order",5,"February 27, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/O6944VOisabelleb,Restaurant very good,Very good restaurant and well located in the center where the neighborhood is lively,5,"February 19, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/ElBarto91,"Dinner ""in sympathy""","Found here on TripAdvisor, we decide to try this restaurant, located in the streets of Hue's nightlife. The staff is young, friendly and very nice. We try their ""tasting"" menu, which allowed us to taste all their main dishes. All very good! Value for money really good.

Special thanks to Min, who served us efficiently and with a smile!",5,"February 12, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/karinap811,Expected more,"Nice place, we however ended up with the worst location right up against the kitchen, right in front of the cabinets staff had to go into all the time. Friendly staff and the prices were okay for the area, located on walking street. The food was okay, but disappointed with their Pho, got it elsewhere where it was much fuller in flavor. Liked their set menu which gave the opportunity to try a lot of different local dishes.",3,"February 3, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/I1779KIchristineh,Nice experience,Very good address in Hue! Not disappointed with Trip advisor's good reviews. We recommend. Pleasant terrace on the pedestrian street at the weekend,4,"January 27, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/miriams73,Nice setting and good food,"Great dinner, courteous and helpful staff. He took care of us a nice guy who ventured even a few words in Italian",5,"January 26, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/DDianaD,Good,Without infamy and without glory. Good but nothing surprising. On average.,3,"January 21, 2026",,2026,,all,Thua Thien Hue
https://www.tripadvisor.com/Restaurant_Review-g293926-d8571633-Reviews-Madam_Thu_Restaurant-Hue_Thua_Thien_Hue_Province.html,https://www.tripadvisor.com/Profile/hollypQ264ZY,Great local food,"Awesome local food , clean, friendly service, reasonable prices. Loved the crispy wrapped spring rolls and noodles with peanut sauce.",5,"January 18, 2026",,2026,,all,Thua Thien Hue
